Rank,Name,Symbol,Coingecko ID,Market Cap,Price,Circulating Supply,volume (24h),% 1h,% 24h,% 7d
1,Bitcoin,BTC,bitcoin,"$895,688,387,523.14","$47,345.22",18.918.243 BTC,"$27,951,569,547.04","0,12%","-0,72%","-6,82%"
2,Ethereum,ETH,ethereum,"$455,713,570,380.85","$3,829.57",118.998.781 ETH,"$9,881,471,547.68","0,13%","1,59%","-5,85%"
3,Binance Coin,BNB,binancecoin,"$88,637,570,485.46",$531.40,166.801.148 BNB *,"$1,462,276,184.94","0,05%","0,77%","-2,85%"
4,Tether,USDT,tether,"$78,373,882,136.14",$1.00,78.337.882.507 USDT *,"$43,202,922,802.33","0,02%","0,00%","0,00%"
5,Solana,SOL,solana,"$54,552,495,291.77",$176.38,309.284.593 SOL *,"$995,389,409.20","-0,22%","-1,20%","-10,92%"
6,Cardano,ADA,cardano,"$46,129,061,735.77",$1.38,33.485.491.062 ADA,"$881,893,010.44","0,42%","0,04%","-5,39%"
7,USD Coin,USDC,usd-coin,"$42,562,534,941.23",$0.9998,42.572.544.666 USDC *,"$2,491,554,184.76","0,00%","-0,03%","0,07%"
8,XRP,XRP,ripple,"$40,838,984,413.81",$0.8591,47.535.964.473 XRP *,"$1,134,033,205.41","0,28%","1,14%","-6,74%"
9,Terra,LUNA,terra-luna,"$32,335,168,164.92",$89.37,361.805.570 LUNA *,"$1,332,237,742.44","-0,66%","-2,18%","-10,38%"
10,Polkadot,DOT,polkadot,"$29,361,884,232.15",$29.73,987.579.315 DOT *,"$1,217,867,246.33","-1,04%","4,01%","-5,11%"
11,Avalanche,AVAX,avalanche-2,"$27,588,210,907.87",$113.19,243.741.532 AVAX *,"$777,052,324.48","-0,32%","-0,85%","-1,76%"
12,Dogecoin,DOGE,dogecoin,"$23,138,181,422.90",$0.1744,132.670.764.300 DOGE,"$391,041,932.67","0,05%","0,79%","-8,22%"
13,Shiba Inu,SHIB,shiba-inu,"$18,692,252,748.29",$0.00003404,549.063.278.876.302 SHIB *,"$574,109,133.67","0,15%","-0,27%","-11,14%"
14,Polygon,MATIC,matic-network,"$18,259,576,689.35",$2.55,7.162.892.403 MATIC *,"$944,553,719.06","0,69%","-0,99%","-11,39%"
15,Crypto.com Coin,CRO,crypto-com-chain,"$14,847,022,636.66",$0.5877,25.263.013.692 CRO *,"$177,501,913.29","0,35%","0,41%","-6,10%"
16,Binance USD,BUSD,binance-usd,"$14,625,354,832.86",$0.9995,14.633.196.848 BUSD *,"$2,793,373,260.86","0,01%","-0,11%","-0,05%"
17,Wrapped Bitcoin,WBTC,wrapped-bitcoin,"$12,221,555,860.50","$47,344.51",258.141 WBTC *,"$222,843,830.46","0,10%","-0,49%","-6,63%"
