Effective date,Royalton CRIX Crypto Index
04.01.21,2221.86
05.01.21,2401.32
06.01.21,2575.21
07.01.21,2765.6
08.01.21,2695.76
11.01.21,2345.88
12.01.21,2416.99
13.01.21,2553.19
14.01.21,2761.96
15.01.21,2530.08
18.01.21,2614.93
19.01.21,2691.19
20.01.21,2596.51
21.01.21,2358.2
22.01.21,2479.68
25.01.21,2509.73
26.01.21,2422.26
27.01.21,2375.42
28.01.21,2454.03
29.01.21,2564.23
01.02.21,2539.09
02.02.21,2721.76
03.02.21,2848.32
04.02.21,2881.27
05.02.21,2929.61
08.02.21,3302.61
09.02.21,3511.51
10.02.21,3382.63
11.02.21,3562.43
12.02.21,3650.75
15.02.21,3713.44
16.02.21,3668.68
17.02.21,3920.48
18.02.21,3969.49
19.02.21,4228.54
22.02.21,4052.58
23.02.21,3577.89
24.02.21,3688.04
25.02.21,3681.72
26.02.21,3473.24
01.03.21,3649.81
02.03.21,3563.88
03.03.21,3785.52
04.03.21,3621.9
05.03.21,3687.58
08.03.21,3919.35
09.03.21,4107.55
10.03.21,4179.14
11.03.21,4264.14
12.03.21,4159.1
15.03.21,4165.57
16.03.21,4134.14
17.03.21,4292.59
18.03.21,4209.61
19.03.21,4357.36
22.03.21,4124.37
23.03.21,4070.79
24.03.21,4001.52
25.03.21,3854.61
26.03.21,3990.4
29.03.21,4266.42
30.03.21,4370.51
31.03.21,4346.49
01.04.21,4430.67
02.04.21,4474.66
05.04.21,4580.58
06.04.21,4609.95
07.04.21,4367.46
08.04.21,4535.21
09.04.21,4587.86
12.04.21,4858.6
13.04.21,5157.36
14.04.21,5094.11
15.04.21,5297.99
16.04.21,5218
19.04.21,4718.6
20.04.21,4834.26
21.04.21,4799.76
22.04.21,4638.62
23.04.21,4411.6
26.04.21,4683.7
27.04.21,4801.38
28.04.21,4896.46
29.04.21,4738.68
30.04.21,5064.14
03.05.21,5323.49
04.05.21,5191.92
05.05.21,5453.98
06.05.21,5406.46
07.05.21,5505.19
10.05.21,5483.72
11.05.21,5628.78
12.05.21,5472.25
13.05.21,4900.16
14.05.21,5247
17.05.21,4625.03
18.05.21,4580.56
19.05.21,3842.11
20.05.21,3979.97
21.05.21,3457.02
24.05.21,3786.86
25.05.21,3575.47
26.05.21,3799.57
27.05.21,3824.1
28.05.21,3506.36
31.05.21,3637.79
01.06.21,3565.44
02.06.21,3830.5
03.06.21,3879.05
04.06.21,3700.82
07.06.21,3628.77
08.06.21,3333.39
09.06.21,3559.56
10.06.21,3520.11
11.06.21,3511.31
14.06.21,3726.1
15.06.21,3732.62
16.06.21,3598.74
17.06.21,3505.59
18.06.21,3269.11
21.06.21,2951.58
22.06.21,2855.21
23.06.21,2918.72
24.06.21,3126.55
25.06.21,2891.2
28.06.21,3126.35
29.06.21,3300.69
30.06.21,3207.44
01.07.21,3036.25
02.07.21,3052.11
05.07.21,3165.17
06.07.21,3199.71
07.07.21,3265.59
08.07.21,3063.1
09.07.21,3073.48
12.07.21,2972.44
13.07.21,2896.03
14.07.21,2938.58
15.07.21,2842.95
16.07.21,2842.83
19.07.21,2715.36
20.07.21,2632.57
21.07.21,2815.98
22.07.21,2914.9
23.07.21,2889.69
26.07.21,3479.75
27.07.21,3290.16
28.07.21,3475.32
29.07.21,3442.94
30.07.21,3477.27
02.08.21,3555.93
03.08.21,3440.88
04.08.21,3631.65
05.08.21,3721.15
06.08.21,3903.51
09.08.21,4180.51
10.08.21,4175.66
11.08.21,4362.72
12.08.21,4133.28
13.08.21,4353.24
16.08.21,4415.74
17.08.21,4335.77
18.08.21,4258.21
19.08.21,4459.84
20.08.21,4644.05
23.08.21,4737.86
24.08.21,4607.78
25.08.21,4629.66
26.08.21,4452.39
27.08.21,4621.39
30.08.21,4685.57
31.08.21,4645.16
01.09.21,4822.25
02.09.21,4937.84
03.09.21,5086.16
06.09.21,5181.07
07.09.21,4550.09
08.09.21,4599.44
09.09.21,4591.17
10.09.21,4459.3
13.09.21,4391.3
14.09.21,4525.1
15.09.21,4714.99
16.09.21,4663.08
17.09.21,4596.39
20.09.21,4195.92
21.09.21,4000.25
22.09.21,4186.52
23.09.21,4320.14
24.09.21,4063.71
27.09.21,4122.57
28.09.21,3957.42
29.09.21,3937.05
30.09.21,4158.44
01.10.21,4591.11
04.10.21,4712.77
05.10.21,4846.3
06.10.21,5098.12
07.10.21,5044.14
08.10.21,5088.16
11.10.21,5176.29
12.10.21,5045.8
13.10.21,5190.42
14.10.21,5333.96
15.10.21,5571.32
18.10.21,5511.69
19.10.21,5685.64
20.10.21,5961.8
21.10.21,5746.98
22.10.21,5628.25
25.10.21,5806.64
26.10.21,5782.75
27.10.21,5475.52
28.10.21,5734.76
29.10.21,5880.45
01.11.21,5816.76
02.11.21,6016.94
03.11.21,6052.7
04.11.21,5905.73
05.11.21,5921.71
08.11.21,6343.4
09.11.21,6434.41
10.11.21,6254.08
11.11.21,6236.03
12.11.21,6167.65
15.11.21,6115.05
16.11.21,5680.71
17.11.21,5741.71
18.11.21,5483.42
19.11.21,5602.66
22.11.21,5388.01
23.11.21,5648.56
24.11.21,5541.83
25.11.21,5745.73
26.11.21,5307.08
29.11.21,5635.37
30.11.21,5688.17
01.12.21,5630.49
02.12.21,5665.81
