Rank,Name,Symbol,Coingecko ID,Market Cap,Price,Circulating Supply,volume (24h),% 1h,% 24h,% 7d
10,Uniswap,UNI,uniswap,"$12,198,611,170.77",$20.77,587.265.785 UNI *,"$540,490,915.07","-0,59%","6,39%","21,50%"
16,Polygon,MATIC,matic-network,"$7,235,477,777.71",$1.15,6.303.422.325 MATIC *,"$510,476,355.95","-0,75%","2,61%","3,22%"
28,Aave,AAVE,aave,"$3,555,054,096.36",$277.04,12.832.333 AAVE *,"$427,571,943.31","-0,38%","6,69%","36,69%"
32,Maker,MKR,maker,"$2,774,284,027.97","$2,798.52",991.340 MKR *,"$129,735,245.61","-1,43%","6,20%","31,38%"
43,Compound,COMP,compound-governance-token,"$2,370,436,418.43",$444.56,5.332.140 COMP *,"$442,261,432.63","0,17%","17,09%","72,87%"
47,The Graph,GRT,the-graph,"$2,086,381,000.29",$0.72,2.897.903.422 GRT *,"$221,150,652.35","0,25%","6,43%","29,13%"
56,Celsius,CEL,celsius-degree-token,"$1,653,129,920.44",$6.92,238.863.520 CEL *,"$8,933,675.10","-0,08%","1,90%","31,96%"
63,XinFin Network,XDC,xdce-crowd-sale,"$1,455,339,597.52",$0.1185,12.278.001.748 XDC,"$8,592,453.15","5,21%","15,76%","73,27%"
66,yearn.finance,YFI,yearn-finance,"$1,223,793,364.79","$33,404.63",36.635 YFI *,"$190,247,025.85","-0,80%","2,33%","10,70%"
69,SushiSwap,SUSHI,sushi,"$1,010,175,856.72",$7.94,127.244.443 SUSHI *,"$160,570,120.50","-0,79%","4,26%","11,64%"
